Keyword,Layout,LoggingLibrary,ProjectInfo,SearchResult
FirebaseAnalytics,FirebaseAnalytics,Firebase,ItsCalebJones/SpaceLaunchNow-Android,"['/ItsCalebJones_SpaceLaunchNow-Android/versions.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/common/build.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/ui/supporter/SupporterActivity.java', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/base/BaseFragment.java', '/ItsCalebJones_SpaceLaunchNow-Android/common/src/main/java/me/calebjones/spacelaunchnow/common/base/BaseActivity.kt', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/build.gradle', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/src/main/java/me/calebjones/spacelaunchnow/ui/main/MainActivity.java', '/ItsCalebJones_SpaceLaunchNow-Android/mobile/src/main/java/me/calebjones/spacelaunchnow/utils/analytics/Analytics.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,FirebaseExtended/custom-auth-samples,['/FirebaseExtended_custom-auth-samples/Line/iOS/LINELoginDemo/Podfile.lock']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Jigsaw-Code/intra,['/Jigsaw-Code_intra/Android/app/src/main/java/app/intra/sys/firebase/AnalyticsWrapper.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,andyb129/FlipsideCamera,['/andyb129_FlipsideCamera/app/src/main/java/com/sixteenplusfour/android/flipsidecamera/ui/MainActivity.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,tananaev/traccar-manager-android,['/tananaev_traccar-manager-android/app/src/google/java/org/traccar/manager/GoogleMainApplication.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,Ashish-Bansal/OneTapVideoDownload,"['/Ashish-Bansal_OneTapVideoDownload/app/src/main/java/com/phantom/onetapvideodownload/ui/domainblacklist/BlacklistDomainActivity.java', '/Ashish-Bansal_OneTapVideoDownload/app/src/main/java/com/phantom/onetapvideodownload/ui/urllog/UrlLogActivity.java', '/Ashish-Bansal_OneTapVideoDownload/app/src/main/java/com/phantom/onetapvideodownload/ui/MainActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,firebase/firebase-android-sdk,"['/firebase_firebase-android-sdk/firebase-dynamic-links/src/main/java/com/google/firebase/dynamiclinks/internal/FirebaseDynamicLinksImpl.java', '/firebase_firebase-android-sdk/firebase-dynamic-links/src/main/java/com/google/firebase/dynamiclinks/FirebaseDynamicLinks.java', '/firebase_firebase-android-sdk/fiamui-app/src/main/java/com/example/firebase/fiamui/MainActivity.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,OneBusAway/onebusaway-android,"['/OneBusAway_onebusaway-android/onebusaway-android/src/amazon/java/org/onebusaway/android/map/googlemapsv2/bike/BikeStationOverlay.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/amazon/java/org/onebusaway/android/map/googlemapsv2/BaseMapFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/google/java/org/onebusaway/android/map/googlemapsv2/bike/BikeStationOverlay.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/google/java/org/onebusaway/android/map/googlemapsv2/BaseMapFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/ArrivalsListFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/TripPlanActivity.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/RegionsFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/ArrivalsListAdapterStyleB.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/MyStarredStopsFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/ArrivalsListHeader.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/PreferencesActivity.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/TripDetailsListFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/MyRemindersFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/FeedbackActivity.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/HomeActivity.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/TripPlanFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/SearchActivity.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/app/Application.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/util/BackupUtils.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/util/UIUtils.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/io/ObaAnalytics.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/provider/ObaContract.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/travelbehavior/TravelBehaviorManager.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/region/ObaRegionsTask.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/report/ui/dialog/CustomerServiceDialog.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/report/ui/Open311ProblemFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/report/ui/ReportTypeListFragment.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/report/ui/ReportProblemFragmentBase.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/nav/NavigationService.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/nav/NavigationServiceProvider.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/nav/NavigationUploadWorker.java', '/OneBusAway_onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/nav/FeedbackReceiver.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,OlgaKuklina/GitJourney,"['/OlgaKuklina_GitJourney/app/src/main/java/com/oklab/gitjourney/asynctasks/RepoContentLoader.java', '/OlgaKuklina_GitJourney/app/src/main/java/com/oklab/gitjourney/adapters/FirebaseAnalyticsWrapper.java', '/OlgaKuklina_GitJourney/app/src/main/java/com/oklab/gitjourney/activities/MainActivity.java', '/OlgaKuklina_GitJourney/app/src/main/java/com/oklab/gitjourney/activities/GeneralActivity.java', '/OlgaKuklina_GitJourney/app/src/main/java/com/oklab/gitjourney/data/UpdaterService.java']"
FirebaseAnalytics,FirebaseAnalytics,Firebase,1hakr/AnExplorer,['/1hakr_AnExplorer/app/src/free/java/dev/dworks/apps/anexplorer/misc/AnalyticsManager.java']
FirebaseAnalytics,FirebaseAnalytics,Firebase,RocketChat/Rocket.Chat.Android,"['/RocketChat_Rocket.Chat.Android/app/build.gradle', '/RocketChat_Rocket.Chat.Android/app/src/play/java/chat/rocket/android/analytics/GoogleAnalyticsForFirebase.kt', '/RocketChat_Rocket.Chat.Android/dependencies.gradle']"
