id,commit_fk,file_path,embed_method,change_type,content,content_update_from
1,57,app/src/main/java/com/ivanmagda/habito/activities/EditHabitActivity.java,createNew(),LOG_DELETED,HabitoAnalytics.INSTANCE.logCreateHabitWithName(mEditingHabit.getRecord().getName()),
2,57,app/src/main/java/com/ivanmagda/habito/activities/EditHabitActivity.kt,kotlin_cannot_identify,LOG_ADDED,HabitoAnalytics.logCreateHabitWithName(editingHabit.record.name) ,
3,57,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,onSignedInInitialize(),LOG_DELETED,HabitoAnalytics.INSTANCE.logLogin(FirebaseAuth.getInstance().getCurrentUser()),
4,57,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,showDetail(Habit),LOG_DELETED,HabitoAnalytics.INSTANCE.logViewHabitListItem(habit),
5,57,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.kt,kotlin_cannot_identify,LOG_ADDED,HabitoAnalytics.logViewHabitListItem(habit) ,
6,59,app/src/main/java/com/ivanmagda/habito/activities/EditHabitActivity.java,NILL,LOG_UPDATED,HabitoAnalytics.INSTANCE.logCreateHabitWithName(mEditingHabit.getRecord().getName()),HabitoAnalytics.logCreateHabitWithName(mEditingHabit.getRecord().getName())
7,59,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_UPDATED,HabitoAnalytics.INSTANCE.logLogin(FirebaseAuth.getInstance().getCurrentUser()),HabitoAnalytics.logLogin(FirebaseAuth.getInstance().getCurrentUser())
8,59,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_UPDATED,HabitoAnalytics.INSTANCE.logViewHabitListItem(habit),HabitoAnalytics.logViewHabitListItem(habit)
9,60,app/src/main/java/com/ivanmagda/habito/application/HabitApplication.java,onCreate(),LOG_DELETED,HabitoAnalytics.logAppOpen(),
10,99,app/src/main/java/com/ivanmagda/habito/activities/EditHabitActivity.java,NILL,LOG_ADDED,HabitoAnalytics.logCreateHabitWithName,
11,99,app/src/main/java/com/ivanmagda/habito/activities/EditHabitActivity.java,NILL,LOG_ADDED,(mEditingHabit.getRecord().getName()),
12,99,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_ADDED,HabitoAnalytics.logLogin,
13,99,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_ADDED,(FirebaseAuth.getInstance().getCurrentUser()),
14,99,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_ADDED,HabitoAnalytics.logViewHabitListItem,
15,99,app/src/main/java/com/ivanmagda/habito/activities/HabitListActivity.java,NILL,LOG_ADDED,(habit),
16,99,app/src/main/java/com/ivanmagda/habito/application/HabitApplication.java,NILL,LOG_ADDED,HabitoAnalytics.logAppOpen,
17,99,app/src/main/java/com/ivanmagda/habito/application/HabitApplication.java,NILL,LOG_ADDED,(),
18,659,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_DELETED,trackFirebaseAnalytics.trackOpenedEvent,
19,659,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_DELETED,(openedResult),
20,659,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,trackFirebaseAnalytics.trackOpenedEvent,
21,659,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,"(generateOsNotificationOpenResult(data, true, fromAlert))",
22,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,trackFirebaseAnalytics.trackOpenedEvent,
23,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,(openedResult),
24,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,trackFirebaseAnalytics.trackInfluenceOpenEvent,
25,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,(),
26,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,trackFirebaseAnalytics.trackReceivedEvent,
27,707,OneSignalSDK/onesignal/src/main/java/com/onesignal/OneSignal.java,NILL,LOG_ADDED,(openResult),
28,2027,app/src/main/java/at/tomtasche/reader/ui/activity/DocumentFragment.java,NILL,LOG_UPDATED,"analyticsManager.report(logPrefix + ""_success"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)","analyticsManager.report(""reopen_success"", FirebaseAnalytics.Param.CONTENT_TYPE, fileType)"
