id,repo,file_path,embed_method,content,,,,,,
983,https://github.com/klinker-apps/talon-for-twitter-android,talon-for-twitter-android/app/src/main/java/com/klinker/android/twitter_l/utils/ExpansionViewHelper.java,getInfo(boolean),"AnalyticsHelper.errorLoadingTweetFromNotification(context, e.getMessage())",,,,,,
723,https://github.com/OneBusAway/onebusaway-android,onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/app/Application.java,reportAnalytics(),"ObaAnalytics.setRegion(mFirebaseAnalytics, getCurrentRegion().getName())",,,,,,
382,https://github.com/wbaumann/SmartReceiptsLibrary,SmartReceiptsLibrary/app/src/main/java/co/smartreceipts/android/persistence/database/controllers/impl/AbstractTableController.java,get(),"mAnalytics.record(new ErrorEvent(AbstractTableController.this, throwable))",,,,,,
851,https://github.com/edx/edx-app-android,edx-app-android/OpenEdXMobile/src/main/java/org/edx/mobile/module/analytics/AnalyticsRegistry.java,"trackScreenView(String,String,String)","trackScreenView(screenName, courseId, action, null)",,,,,,
1194,https://github.com/StepicOrg/stepik-android,stepik-android/app/src/main/java/org/stepic/droid/ui/dialogs/CertificateShareDialog.java,"onCreate(Bundle,View,View,View)",analytic.reportEvent(Analytic.Certificate.SHARE_LINK_CERTIFICATE),,,,,,
186,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/nabu/src/main/java/com/blockchain/swap/nabu/datamanagers/NabuUserReporter.java,kotlin_cannot_identify,"userAnalytics.logUserProperty(UserProperty(UserAnalytics.KYC_CREATION_DATE, it))",,,,,,
80,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/launcher/LauncherActivity.java,kotlin_cannot_identify,analytics.logEvent(NotificationAppOpened),,,,,,
712,https://github.com/OneBusAway/onebusaway-android,onebusaway-android/onebusaway-android/src/main/java/org/onebusaway/android/ui/HomeActivity.java,goToNavDrawerItem(int),"ObaAnalytics.reportUiEvent(mFirebaseAnalytics, getString(R.string.analytics_label_button_press_social_activity_feed), null)",,,,,,
1000,https://github.com/seven332/EhViewer,EhViewer/app/src/main/java/com/hippo/ehviewer/EhApplication.java,onCreate(Void),Analytics.start(this),,,,,,
918,https://github.com/edx/edx-app-android,edx-app-android/OpenEdXMobile/src/main/java/org/edx/mobile/view/CertificateFragment.java,"onOptionsItemSelected(MenuItem,ComponentName,ShareUtils,.,ShareType)","analyticsRegistry.certificateShared(courseData.getCourse().getId(), courseData.getCertificateURL(), shareType)",,,,,,
495,https://github.com/tasomaniac/OpenLinkWith,OpenLinkWith/app/src/main/java/com/tasomaniac/openwith/settings/advanced/features/FeatureToggleTracker.java,kotlin_cannot_identify,"analytics.sendEvent(""${feature.prefKey} toggled"", ""enabled"", enabled.toString())",,,,,,
460,https://github.com/jeisfeld/Augendiagnose,Augendiagnose/AugendiagnoseIdea/augendiagnoseLib/src/main/java/de/jeisfeld/augendiagnoselib/activities/OrganizeNewPhotosActivity.java,"onCreate(Bundle,TextView,int,KeyEvent,View,MotionEvent)","TrackingUtil.sendEvent(Category.EVENT_USER, ""Organize"", ""Start"")",,,,,,
168,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/simplebuy/SimpleBuyCheckoutFragment.java,kotlin_cannot_identify,analytics.logEvent(SimpleBuyAnalytics.CHECKOUT_SUMMARY_CANCELLATION_GO_BACK),,,,,,
97,https://github.com/blockchain/My-Wallet-V3-Android,My-Wallet-V3-Android/app/src/main/java/piuk/blockchain/android/ui/activity/ActivitiesInteractor.java,kotlin_cannot_identify,analytics.logEvent(SimpleBuyAnalytics.BANK_DETAILS_CANCEL_ERROR) ,,,,,,
821,https://github.com/RocketChat/Rocket.Chat.Android,Rocket.Chat.Android/app/src/main/java/chat/rocket/android/authentication/loginoptions/presentation/LoginOptionsPresenter.java,kotlin_cannot_identify,"analyticsManager.logLogin(loginMethod, false) ",,,,,,
781,https://github.com/1hakr/AnExplorer,AnExplorer/app/src/main/java/dev/dworks/apps/anexplorer/AboutActivity.java,onClick(View),"AnalyticsManager.logEvent(""app_love"")",,,,,,
879,https://github.com/edx/edx-app-android,edx-app-android/OpenEdXMobile/src/main/java/org/edx/mobile/module/analytics/AnalyticsRegistry.java,"trackCoursesSearch(String,boolean,String)","service.trackCoursesSearch(searchQuery, isLoggedIn, versionName)",,,,,,
488,https://github.com/google/iosched,iosched/mobile/src/main/java/com/google/samples/apps/iosched/util/FirebaseAnalyticsHelper.java,kotlin_cannot_identify,setUserSignedIn(signedIn == true) ,,,,,,
630,https://github.com/Jigsaw-Code/intra,intra/Android/app/src/main/java/app/intra/net/go/GoVpnAdapter.java,connectTunnel(),"LogWrapper.log(Log.INFO, LOG_TAG, ""Starting go-tun2socks"")",,,,,,
1148,https://github.com/google/santa-tracker-android,santa-tracker-android/presentquest/src/main/java/com/google/android/apps/santatracker/presentquest/ui/map/MapsActivity.java,"updateMetersWalked(LatLng,LatLng)","MeasurementManager.recordHundredMetersWalked(mAnalytics, mMetersWalked)",,,,,,
1178,https://github.com/google/santa-tracker-android,santa-tracker-android/santa-tracker/src/main/java/com/google/android/apps/santatracker/web/WebSceneActivity.java,kotlin_cannot_identify,"MeasurementManager.recordCustomEvent(firebaseAnalytics, getString(com.google.android.apps.santatracker.common.R.string.analytics_event_category_webscene), getString(com.google.android.apps.santatracker.common.R.string.analytics_event_webscene_onaction), event)",,,,,,
