id,commit_fk,file_path,embed_method,change_type,content,content_update_from
985,6769,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.kt,NILL,LOG_ADDED,(Analytic.SmartLock.LOGIN_NOT_SAVED),
986,6769,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
987,6769,app/src/main/java/org/stepic/droid/ui/activities/LoginActivity.kt,NILL,LOG_ADDED,(Analytic.SmartLock.SHOW_SAVE_LOGIN),
988,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
989,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,(Analytic.SmartLock.REGISTRATION_NOT_SAVED),
990,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
991,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,(Analytic.SmartLock.SHOW_SAVE_REGISTRATION),
992,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
993,6769,app/src/main/java/org/stepic/droid/ui/activities/RegisterActivity.kt,NILL,LOG_ADDED,(Analytic.SmartLock.REGISTRATION_SAVED),
994,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
995,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Interaction.SHOW_LAUNCH_SCREEN_AFTER_LOGOUT),
996,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
997,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_LAUNCH),
998,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
999,6774,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,(Analytic.Screens.SHOW_MAIN_FEED),
1000,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.java,"onCreate(Bundle,View,View,View,ConnectionResult,LoginResult,Throwable,FacebookException)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_FIND_COURSE_LAUNCH),
1001,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.java,"onCreate(Bundle,View,View,View,ConnectionResult,LoginResult,Throwable,FacebookException)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_UP),
1002,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.java,"onCreate(Bundle,View,View,View,ConnectionResult,LoginResult,Throwable,FacebookException)",LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_SIGN_IN),
1003,6775,app/src/classic/java/org.stepic.droid/ui/activities/LaunchActivity.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_FIND_COURSE_LAUNCH) ,
